gemma3:27b,01_mug,02_mug,03_mug,04_mug,05_sponge,06_sponge,07_sponge,08_sponge,09_gloves,10_gloves,11_gloves,12_gloves,13_plate,14_plate,15_plate,16_plate,17_fan,18_fan,19_fan,20_fan,21_soap_bottle,22_soap_bottle,23_soap_bottle,24_soap_bottle,25_controller,26_controller,27_controller,28_controller,29_cloth,30_cloth,31_cloth,32_cloth,33_mouse,34_mouse,35_mouse,36_mouse,37_screwdriver,38_screwdriver,39_screwdriver,40_screwdriver,41_pcb,42_pcb,43_pcb,44_pcb,45_cleaning_foam,46_cleaning_foam,47_cleaning_foam,48_cleaning_foam,49_mug,50_sponge,51_gloves,52_plate,53_fan,54_soap_bottle,55_controller,56_cloth,57_mouse,58_screwdriver,59_pcb,60_cleaning_foam
"Act as a robotic assistant that identifies tools. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",True,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
Act as a robotic assistant that identifies tools. What is in your grip?,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False
"Based on what you see, you must identify the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
"Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
Identify the item in the image,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
Ignore the robotic arm. Focus only on the object being held. Identify it.,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,True,True,True,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
What is the object in the image? Answer with a single word.,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
"What is the object in the image? Ignore the robot arm, focus on the object, Answer with a single word.",True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False
"You are a robot. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are a robot. Based on what you see, you must identify the object gripped in your robotic arm. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are a robot. Based on what you see, you must identify the object. Be concise, identify the object.",True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
"You are a robot. Based on what you see, you must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are a robot. You are analyzing this image to detect the item held. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are a robot. You are analyzing this image to detect the item held. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are a robot. You are analyzing this image to detect the item held. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
You are a warehouse robot sorting objects. What are you holding?,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You are analyzing this image to detect the item held. Based on what you see, you must identify the object gripped in your robotic arm. Disregard the arm and background clutter, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
You are analyzing this image to detect the item held. Disregard the arm or background clutter.,True,False,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
"You must identify the object. You will see a robotic arm in the image, but IGNORE IT, focus on the object. Be concise, identify the object.",True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False
Your task is to classify the item. Do not describe the robot or background.,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
